episode_id	source_actor_id	target_actor_id	rel_type	strength	confidence	issue_tags	notes
ep4	hamas_hardline	hamas_mil	veto_or_exit_threat	0.85	0.90	reject_corridors|moving_goalposts	Hamas field leadership blocks; fears Israel moving goalposts
ep4	hamas_doha	hamas_mil	pressures	0.50	0.70	negotiate_positions	Doha bureau constrained; presence under US threat
ep4	hamas_pol	hamas_mil	pressures	0.52	0.70	ceasefire_first	Hamas political demands ceasefire guaranteed first
ep4	israel_public	netanyahu	pressures	0.75	0.90	hostage_deal_demand	Mass protests and labor strike after 6 hostages recovered dead
ep4	hostage_families	netanyahu	pressures	0.78	0.90	hostage_deal_demand	Families demand ceasefire agreement
ep4	hostage_families	israel_exec	pressures	0.72	0.90	hostage_release_priority
ep4	israel_exec	hamas_mil	conflict_background	1.00	1.00	ongoing_war
ep4	egypt	us	pressures	0.55	0.80	philadelphi_corridor	Egypt opposes Israeli corridor presence; pressures US mediating position
ep5	qatar	israel_exec	mediates	0.90	0.95	stage_one_terms|phase_two_talks	Qatar PM calls for immediate phase-two negotiations after stage one
ep5	qatar	hamas_doha	mediates	0.87	0.95	stage_one_terms
ep5	egypt	israel_exec	mediates	0.77	0.90	stage_one_implementation
ep5	egypt	hamas_pol	mediates	0.72	0.85	stage_one_implementation
ep5	us	israel_exec	guarantees_or_monitoring	0.90	0.95	stage_one_guarantee	Witkoff represents Trump; Biden-Trump transition; US monitors stage one
ep5	us	qatar	guarantees_or_monitoring	0.85	0.90	monitoring_coordination
ep5	hamas_doha	hamas_mil	pressures	0.70	0.85	deal_acceptance	Doha bureau presses Gaza military to implement
ep5	hayya	hamas_doha	pressures	0.65	0.80	negotiation_positions
ep5	hamas_pol	hamas_doha	pressures	0.55	0.75	ceasefire_continuation
ep5	icrc	israel_exec	implements_transfer	0.90	0.95	hostage_handover|dignity_standards	ICRC calls for privacy and dignity; states degrading treatment unacceptable
ep5	hamas_mil	icrc	implements_transfer	0.90	0.95	hostage_handover|dignity_standards	Hamas transfers hostages to ICRC; ICRC publicly flags dignity standards
ep5	far_right_bloc	netanyahu	veto_or_exit_threat	0.92	0.95	anti_deal_resignation	Ben-Gvir threatens then resigns; far-right ministers quit cabinet
ep5	netanyahu	israel_exec	pressures	0.80	0.90	deal_management|coalition_strain	Netanyahu manages coalition strain and deal implementation
ep5	opposition_bloc	israel_exec	pressures	0.60	0.80	deal_support	Alternative political support for deal replaces resigned coalition members
ep5	hostage_families	israel_exec	pressures	0.82	0.90	complete_all_phases	Families demand all phases continue; watch Qatar PM calls for phase two
ep5	israel_public	israel_exec	pressures	0.72	0.85	pro_deal	Public supports continuation of deal
ep5	idf	israel_exec	pressures	0.60	0.80	security_compliance_monitoring	IDF monitors compliance; shapes stage-two conditions
ep5	foreign_govts	us	pressures	0.52	0.80	dual_national_releases	US/France/Thailand press for nationals; dual citizens named for release
ep5	foreign_govts	qatar	pressures	0.42	0.72	citizen_recovery	Thailand among those freed; bilateral track
ep5	israel_exec	hamas_mil	conflict_background	0.70	0.90	reduced_hostilities	Ceasefire in effect; reduced but not ended conflict posture
ep5	hamas_hardline	hamas_mil	pressures	0.42	0.65	phase_two_demands	Field leadership presses for phase-two guarantees
ep5	un_humanitarian	egypt	pressures	0.40	0.70	aid_corridor	600 trucks/day demand; aid access as ceasefire condition
ep6	us	israel_exec	guarantees_or_monitoring	0.95	0.95	full_ceasefire_guarantee	Witkoff/Kushner lead US side; Trump signs off; up to 200 US troops deployed to Israel
ep6	us	hamas_pol	pressures	0.72	0.90	48_hostage_release|compliance	US presses Hamas compliance on 72-hour window
ep6	qatar	israel_exec	mediates	0.87	0.95	final_terms|redeployment_timing	Mediators sign at Sharm el-Sheikh summit with Trump
ep6	qatar	hamas_doha	mediates	0.85	0.95	final_terms
ep6	egypt	israel_exec	mediates	0.77	0.90	final_ceasefire
ep6	egypt	hamas_pol	mediates	0.72	0.90	final_ceasefire
ep6	turkey	hamas_pol	mediates	0.62	0.80	signing_ceremony	Turkey joins as mediator/signatory at Sharm el-Sheikh with Trump
ep6	turkey	israel_exec	mediates	0.42	0.75	signing_ceremony
ep6	icrc	israel_exec	implements_transfer	0.90	0.95	hostage_return|remains_recovery	ICRC begins Oct 13 operations; remains recovery ongoing and uncertain
ep6	hamas_mil	icrc	implements_transfer	0.90	0.95	hostage_return|remains_recovery	Hamas transfers living hostages and remains to ICRC; remains-recovery integrity challenged
ep6	intl_monitoring	israel_exec	guarantees_or_monitoring	0.82	0.90	coordination_task_force	US deploys up to 200 troops to Israel for task force; no troops into Gaza
ep6	intl_monitoring	hamas_mil	guarantees_or_monitoring	0.52	0.75	stabilization_monitoring
ep6	eu_mission	israel_exec	guarantees_or_monitoring	0.62	0.85	rafah_crossing_supervision	EU delegation supervises Rafah crossing per agreement terms
ep6	eu_mission	hamas_pol	guarantees_or_monitoring	0.52	0.80	rafah_crossing_supervision	Israeli approval + EU supervision of Rafah movement per deal
ep6	hamas_doha	hamas_mil	implements_transfer	0.77	0.90	hostage_release_coordination	Doha bureau coordinates with Gaza on 48-hostage release
ep6	hayya	hamas_doha	pressures	0.72	0.85	remains_recovery_timeline	Remains recovery may take longer than living hostages; uncertainty flagged
ep6	hostage_coord	israel_exec	implements_transfer	0.82	0.90	remains_location_intl	Hirsch (hostage coordinator) says international force will help locate remains Hamas cannot find
ep6	hostage_coord	intl_monitoring	guarantees_or_monitoring	0.72	0.85	remains_location_coordination	Coordination between Hirsch office and intl task force
ep6	netanyahu	israel_exec	pressures	0.80	0.90	deal_approval	Cabinet approved deal; Netanyahu manages coalition and international dynamics
ep6	far_right_bloc	netanyahu	veto_or_exit_threat	0.62	0.85	anti_deal_pressure	Coalition pressure continues; Ben-Gvir etc. still active
ep6	hostage_families	israel_exec	pressures	0.82	0.90	complete_releases|remains_recovery	Families advocate for all releases and remains return
ep6	foreign_govts	us	pressures	0.52	0.80	citizen_releases	Dual nationals (US/France etc.) recovered; foreign govts pressure US
ep6	diaspora_pro_israel	netanyahu	pressures	0.32	0.70	political_support	AIPAC/J Street/ADL respond to agreement; political legitimacy environment
ep6	diaspora_pro_pal	hamas_pol	endorses_or_legitimizes	0.22	0.62	political_legitimacy	CAIR and others respond; pro-Palestinian diaspora advocacy active
ep6	un_humanitarian	us	pressures	0.52	0.75	aid_access	600 trucks/day provision; humanitarian access via Rafah
ep6	unsc	us	endorses_or_legitimizes	0.62	0.80	legitimacy_framework	UNSC framework provides legitimacy foundation for deal
ep6	israel_exec	hamas_mil	conflict_background	0.30	0.95	ending_hostilities	Ceasefire in effect; hostilities ending
ep6	hamas_hardline	hamas_mil	pressures	0.32	0.65	remains_recovery_uncertainty	Field leadership uncertainty on remains locations
